number,group,toxicant,time,Casp7,Chek,Gclc,Gstm1,Gstp1,Gstt1,Hmox,Nfe2l2,Nqo1,Ripk,Sod1,AST,ALT,LDG,AP,TG,HST,protein,MA
22,Geptor,APAP,24h,-.551666667,-1.432857143,.038571429,-.078571429,-1.084285714,.278571429,-.491428571,-1.6,1.918571429,-.568571429,1.111428571,126.3,65.6,1254,354.3,1.7,2.14,66.5,121.8
23,Geptor,APAP,24h,-.231666667,-3.512857143,-.681428571,.691428571,-.804285714,-.331428571,-1.661428571,-1.57,2.198571429,-1.148571429,-.728571429,176.5,63.2,1973,485,.8,2.08,58.7,149.2
24,Geptor,APAP,24h,-.561666667,-1.252857143,.488571429,.521428571,-.384285714,-.221428571,-.941428571,-1.48,1.908571429,-1.248571429,-.268571429,175.9,69.8,2474,232.1,1.86,2.39,71.1,135
25,Geptor,APAP,24h,-.891666667,-.212857143,.498571429,2.251428571,-2.344285714,-.081428571,.188571429,-.82,3.368571429,-.638571429,-.078571429,148.1,54.7,1438,485,1.7,2.47,65.6,125.8
26,Geptor,APAP,24h,.128333333,-1.312857143,.178571429,2.511428571,.315714286,-.251428571,.258571429,-1.58,2.058571429,-.208571429,.111428571,191.7,52.7,2339,595.4,.86,3.09,57.5,99.2
27,Geptor,APAP,24h,-.721666667,-1.432857143,.088571429,-.208571429,.065714286,.218571429,-1.781428571,-.64,2.748571429,-.598571429,1.191428571,175.9,78.4,1973,483.5,1.66,2.24,68.6,128.8
28,Geptor,APAP,24h,-.871666667,.647142857,.358571429,.331428571,-1.174285714,.298571429,1.338571429,-.46,1.528571429,6.081428571,-.498571429,153.5,73.6,1900,477.3,1.7,2.43,64.9,113.1
22,Geptor,APAP,72h,.481428571,.42,.052857143,2.815714286,1.104285714,1.051428571,-.491428571,1.085714286,1.747142857,1.072857143,.792857143,221.2,50.3,2477,161,1.02,2.21,63.6,105.4
23,Geptor,APAP,72h,1.171428571,-.25,1.852857143,1.715714286,.984285714,.351428571,-1.661428571,-.004285714,.487142857,.142857143,.222857143,159.5,48.4,2717,173.8,.88,2.18,70.1,123.3
24,Geptor,APAP,72h,.711428571,.52,-.067142857,1.375714286,1.694285714,.931428571,-.941428571,.375714286,.437142857,.592857143,.452857143,184.6,67.3,2424,246.2,.58,2.09,70.9,117.1
25,Geptor,APAP,72h,.891428571,-.43,-.357142857,2.115714286,-.495714286,-.438571429,.188571429,.415714286,2.017142857,1.102857143,1.112857143,183.1,41.8,2424,384,.87,1.98,77.2,158.7
26,Geptor,APAP,72h,.671428571,-.91,-.237142857,1.695714286,2.964285714,1.171428571,.258571429,-.944285714,.547142857,-.567142857,-.957142857,133.1,49.8,1709,437.4,.88,2.06,60.6,93.7
27,Geptor,APAP,72h,.821428571,.32,.462857143,2.615714286,2.264285714,.201428571,-1.781428571,-.534285714,1.817142857,1.412857143,-.257142857,210.6,45.4,2001,384,.7,2.25,75.8,121.4
28,Geptor,APAP,72h,.471428571,-2.23,-2.087142857,.485714286,.134285714,.801428571,1.338571429,-1.544285714,1.117142857,.202857143,-.787142857,159.5,49.8,1824,455.8,.62,3.23,68.4,111
22,Geptor,CCL4,24h,-1.272857143,-.822857143,-2.522857143,-.992857143,-.434285714,-1.024285714,-.347142857,-3.054285714,.27,-.717142857,-1.125714286,175.6,51.9,2424,284.7,.51,1.19,67.9,122.1
23,Geptor,CCL4,24h,-1.102857143,-.842857143,-2.332857143,-1.012857143,-.724285714,.445714286,1.142857143,-2.704285714,1.52,-1.067142857,-1.025714286,282,58.4,2845,367.4,.45,1.68,76.3,139.3
24,Geptor,CCL4,24h,-1.672857143,-.682857143,-.482857143,-.862857143,-.244285714,.565714286,1.122857143,-1.764285714,1.13,-.147142857,-1.285714286,184.4,60.5,1709,326.2,.4,2.26,64.8,122.7
25,Geptor,CCL4,24h,-1.442857143,-.932857143,-2.042857143,-1.242857143,-.734285714,1.355714286,1.252857143,-1.214285714,1.67,-1.097142857,-.785714286,190.4,50.9,1928,419.7,.84,1.82,60.8,126.7
26,Geptor,CCL4,24h,-.822857143,.097142857,-3.532857143,-1.232857143,-1.364285714,2.165714286,-.127142857,-1.184285714,1.59,-.547142857,-1.155714286,248.1,64.5,2476,408.9,.6,1.97,61.6,133.5
27,Geptor,CCL4,24h,-1.122857143,-1.692857143,-3.272857143,-1.472857143,-.714285714,1.205714286,1.632857143,.265714286,0,-.567142857,.014285714,241.9,48.3,2503,251.9,.68,1.86,70.3,154.4
28,Geptor,CCL4,24h,-1.032857143,-2.292857143,-3.652857143,-1.142857143,.245714286,.725714286,1.302857143,-.204285714,.71,-.907142857,-.735714286,237.6,58.4,2561,427,.47,1.38,68.1,131.9
22,Geptor,CCL4,72h,1.147142857,.042857143,-.571428571,-.491428571,1.178571429,.647142857,2.174285714,1.945714286,2.388571429,-1.138571429,-.598571429,220.6,72.8,1259,383.6,.63,1.43,57.8,112.5
23,Geptor,CCL4,72h,1.417142857,-1.457142857,-.491428571,-2.221428571,.168571429,-.952857143,2.704285714,.175714286,3.258571429,-1.028571429,-1.088571429,263.4,66.8,1364,283.1,.55,1.43,61.1,126.1
24,Geptor,CCL4,72h,1.117142857,-.537142857,-.491428571,-2.191428571,-.031428571,-1.042857143,3.254285714,.155714286,2.928571429,-1.058571429,-.908571429,281.9,78.6,940.7,378.7,.54,1.61,75.9,209.6
25,Geptor,CCL4,72h,1.337142857,1.302857143,-.691428571,-1.801428571,.328571429,-.102857143,3.074285714,.655714286,3.688571429,-.938571429,-1.138571429,244,53.8,1511,269.5,.89,1.47,63.4,140.6
26,Geptor,CCL4,72h,.787142857,-.177142857,-.281428571,-2.961428571,2.218571429,-.272857143,1.354285714,-.594285714,3.218571429,-.738571429,-1.128571429,226.9,70.5,1496,419.9,.63,1.78,73.1,112.8
27,Geptor,CCL4,72h,1.317142857,-.727142857,-.841428571,-2.341428571,.838571429,-.882857143,1.014285714,-.184285714,2.828571429,-1.098571429,-1.458571429,218.9,93.3,1435,504.4,.91,1.72,70.2,137.2
