Номер;Группа;АСТ;АЛТ;ЛДГ;ЩФ;Белок;Альбумин;МК;Мочевина;Триглицериды;Холестерин;ВДА2нед;ВДА1мес;МОП2нед;МОП1мес;НР2нед;НР1мес;ЭР2нед;ЭР1мес;груминг1мес;лейкоциты2нед;лейкоциты1мес;эритроциты2нед;эритроциты1мес;гемоглобин2нед;гемоглобин1мес;тромбоциты2нед;тромбоциты1мес;гематокрит2нед;гематокрит1мес;содлимфвлейк2нед;содлимфвлейк1мес;содмонвлейк2нед;содмонвлейк1мес;содгранвлейк2нед;содгранвлейк1мес;вескоэфпеч1мес;вескоэфпочек1мес;вестеланач;вестела7д;вестела13д;вестела21д;вестела27д;вестелаок;измвесатна1нед;измвесатна2нед;измвесатна3нед;измвесатна4нед;измвесатна5нед;CASP7liver;CHEKliver;GCLCliver;SOD1liver;RIPKliver;NQO1liver;GSTPliver;GSTTliver;NFE2L2liver;HMOXliver;GSTMliver;CASPkidney;CHEKkidney;GCLCkidney;SOD1kidney;RIPKkidney;NQO1kidney;GSTPkidney;GSTTkidney;NFE2L2kidney;HMOXkidney;GSTMkidney
1;0;253.3;57.1;3634.9;85.3;68.7;44.8;164.4;8.44;.3;1.23;2;1;14;21;6;6;0;0;1;9.5;6.4;7.48;7.24;143;143;265;262;40.3;34.7;88.4;93.7;7.3;4.6;4.2;1.5;35.3;6.4;190;199;199;206;209;217;9;0;7;3;8;-2.0378;-.6067;-.3083;.1708;-.6778;.6489;-.0622;-.1417;-2.5489;-.19;-.5878;-.0944;1.855;1.9669;1.6183;.955;1.0006;1.1658;1.4283;-.3222;.7283;-.1744
2;0;218.3;54.2;3233.6;151.2;68.7;43.6;164.7;6.94;1.08;1.64;2;3;8;18;5;10;1;0;0;10.9;4.4;7.75;7.02;137;136;183;227;42.6;35.1;75.2;88.6;7.3;6.8;17.4;4.5;32.4;6.3;197;208;219;226;223;231;11;11;7;-3;8;-1.3044;.51;.6683;.6158;.1322;1.4289;.8144;.4783;.1244;.8233;.5856;-.6278;3.625;-4.2547;-5.1617;2.195;2.5106;-1.6892;-.3517;1.3711;2.0017;2.9022
3;0;227.1;54.7;3360.4;107.4;68.2;44.5;168;8.77;.47;1.97;2;4;18;28;4;4;0;0;0;7.8;3.6;7.92;7.13;145;139;258;221;43.5;36.3;96.1;94.4;2.5;5.5;1.2;0;35;6;181;189;187;199;201;208;8;-2;12;2;7;-.3178;-.07;-.5717;-1.1892;-.4844;-.3878;-1.6756;-1.0917;1.1244;-1.4333;-1.4511;1.0189;2.0217;1.3436;.5417;-.1683;-1.0694;1.0408;.1333;-.1922;-1.8583;-.5644
4;0;207.8;63.3;2748;189.8;65.7;44.3;139.8;8.13;.43;1.63;2;1;20;14;5;7;0;0;2;9;2.5;7.49;7.09;144;138;266;221;41.9;38.9;90;92;7.7;8;2.2;0;33.8;5.7;185;198;207;214;214;224;13;9;7;0;10;-.6011;.2867;.3017;-1.0192;-.5278;.1689;-.2489;-.7567;.1211;-.42;-.3178;-1.2978;-4.3717;-.9397;.3617;-1.835;-1.3261;-1.8292;-1.2567;-.9556;-.9217;-2.9078
5;0;252.2;51.4;3711.6;266.4;68.1;45;171.2;7.62;.49;1.07;3;3;6;8;1;3;0;0;0;8.7;7.6;7.47;7.7;140;148;229;266;41.8;41.5;83.9;85.5;8;10.5;8;3.9;34.1;6;202;207;220;227;224;239;5;13;7;-3;15;1.9822;-.35;-.225;1.7958;.9656;-2.0978;1.5178;1.4833;.3578;1.46;1.7589;-.4078;-2.5617;-.4831;-.0883;-1.4983;-1.0161;-.7792;-1.4717;-1.4156;-.175;-.9078
6;0;287;64.9;3235.1;176;73.2;48.6;134.9;7.01;.76;2.27;4;3;26;6;3;2;1;0;0;7.5;2.9;7.86;7.03;145;140;285;154;42.4;39.3;90.6;62;6.6;10.3;2.6;27.5;32.3;6.3;189;195;200;199;198;206;6;5;-1;-1;8;2.2789;.23;.135;-.3742;.5922;.2389;-.3456;.0283;.8211;-.24;.0122;1.4089;-.5683;2.3669;2.7283;.3517;-.0994;2.0908;1.5183;1.5144;.225;1.6522
7;1;292.6;52.3;3680;109.4;70.1;45.4;195.1;5.72;.53;1.69;1;1;9;24;3;3;1;1;1;9;2.1;7.41;6.8;135;131;344;321;40;37.4;92.2;90.4;4.4;4.7;3.3;4.7;34;6.1;186;186;194;192;198;199;0;8;-2;6;1;2.2589;-.0333;-.3483;-.4092;.6156;-.3744;.1111;-.1817;.3378;-.3833;.0089;-2.8044;-7.1117;-1.1731;1.4317;-1.3383;-2.0194;-.1992;-3.3367;-.7422;-.5883;-1.6711
8;1;252.4;47.8;2999.9;147.6;65.5;43;161;6.53;.55;1.98;0;0;14;22;4;3;0;0;1;14.9;4.9;7.46;6.23;141;128;301;236;42.5;34.8;81.8;91.8;7.3;6.1;10.7;2;33.3;6.3;198;198;203;204;211;212;0;5;1;7;1;3.1022;.5967;.5217;1.0808;.9389;.4656;1.8878;.6233;.2144;1.17;1.2289;-1.5444;-2.2583;-.2031;1.7083;.2417;-1.3328;.8208;-2.0217;-.1922;-.5417;-1.1111
9;1;274.3;61.6;3180.9;278.9;66.5;44.8;135.9;6.62;.63;1.38;1;0;9;19;5;3;1;0;1;18.3;5.7;7.22;5.88;140;123;266;308;41.1;34.1;81.9;89.4;9.2;7;8.7;3.5;31.1;5.8;191;198;209;214;211;218;7;11;5;-3;7;2.1489;.0933;.0083;.2458;.2922;-.7011;1.0944;-.6117;-.2456;-.09;.4089;-1.5844;-4.885;-.0864;1.7817;-.435;-.8461;2.0658;-2.2717;.0911;-.565;-1.3611
10;1;284.7;54.5;3224.2;116.2;65.3;41.9;171.4;7.51;.73;1.72;1;0;5;8;3;1;0;0;0;14.7;3.6;7.72;7.05;144;137;295;266;43.2;39.4;93.8;94.4;4;2.7;2;2.7;32.4;6.1;185;185;185;193;194;198;0;0;8;1;4;-2.0278;.3333;.2917;1.1208;.2289;.2789;1.6711;.6183;.2278;1.1267;.9156;-.8644;-3.5583;-.0497;2.085;.2817;-.1394;1.7308;-1.4967;.8911;.2217;-.2178
