nomer;Ãנףןןא;"Ïנמהמכזטעוכüםמסעü חאענאגךט (0- מהםמךנאעםמ; 1- 1 לוס.; 2- 20 הם.; 3- 1,5 לוס.; 4- 3 לוס.)";"Äמחא עמךסטךאםעא        (1- ÀÀ 20 לד/ךד; 2- ÀÀ 5 לד/ךד;    3- 150 לד/ךד)";SOD1liver;NQO1liver;NFE2L2liver;SOD1kidney;NQO1kidney;FE2L2kidney
1;0;3 לוס.;5 לד/ךד;-0,192572246;-0,431765702;0,800327315;-1,208756432;-0,063219809;-0,355462834
2;0;3 לוס.;5 לד/ךד;-0,308366189;-0,846743791;0,533293155;0,612355367;0,064324891;0,763124993
3;0;3 לוס.;5 לד/ךד;0,903202092;-0,032328997;0,045361288;-0,052645061;0,333389381;-0,057558959
4;0;3 לוס.;5 לד/ךד;-0,11818986;-1,087444062;0,233955164;1,021285238;0,058667179;-0,002603998
5;0;3 לוס.;5 לד/ךד;-0,044661691;1,23279244;-0,369526975;1,073692292;1,363975091;-0,268329181
6;0;3 לוס.;5 לד/ךד;-0,143439329;-0,89129762;-0,733757281;-3,072179184;-3,0426423;-0,288750352
7;1;3 לוס.;5 לד/ךד;-0,095972776;2,056787731;-0,509652666;1,626247781;1,285505567;0,209580331
8;1;3 לוס.;5 לד/ךד;-0,597899684;1,264649814;0,848693605;3,302846862;4,01508357;0,368196984
9;1;3 לוס.;5 לד/ךד;0,331694001;0,197803903;1,300350343;1,860388023;1,428127828;1,543313701
10;1;3 לוס.;5 לד/ךד;-0,124727591;0,215523449;-0,073839301;0,075060631;0,757377961;0,447924225
11;1;3 לוס.;5 לד/ךד;-0,285381813;2,417918936;1,109409581;0,086521206;-0,121119192;0,263480855
12;1;3 לוס.;5 לד/ךד;0,262668834;-0,74545426;0,557307929;3,466736795;-0,320930742;1,034218214
13;2;3 לוס.;5 לד/ךד;-0,04032972;-0,205176112;-0,380190827;-1,895109621;-0,017349797;1,53833566
14;2;3 לוס.;5 לד/ךד;1,265204144;0,770613574;0,701606865;2,477632108;2,998718808;0,597122789
15;2;3 לוס.;5 לד/ךד;0,669593146;1,565448054;0,115529988;-4,617088026;-4,123602889;0,701869334
16;2;3 לוס.;5 לד/ךד;1,342089568;-0,429082923;1,076766895;3,960872454;0,84757622;0,895127092
17;2;3 לוס.;5 לד/ךד;1,781508114;0,694885763;-0,219184687;1,746673306;6,503553366;-1,108722001
18;2;3 לוס.;5 לד/ךד;-0,554864382;-0,847613668;0,259778823;-2,840009345;6,830345497;-0,78077917
19;3;3 לוס.;5 לד/ךד;0,028166005;2,269122687;1,05000081;-18,93316791;1,375234183;-1,04749775
20;3;3 לוס.;5 לד/ךד;1,031296524;2,249270342;0,247008305;1,707657998;7,787642479;0,267802639
21;3;3 לוס.;5 לד/ךד;0,762853027;1,785287283;0,559659562;-0,997465649;1,862224243;-0,210420742
22;3;3 לוס.;5 לד/ךד;-1,729718033;-1,888469417;-0,658502785;0,003232052;4,488080816;0,091780882
23;3;3 לוס.;5 לד/ךד;-0,124744939;-0,843519805;0,870945503;4,222600001;15,33410551;0,444328691
24;3;3 לוס.;5 לד/ךד;-0,58904796;1,799262357;1,64082884;3,019747808;1,475903127;1,226284402
25;4;3 לוס.;5 לד/ךד;-0,345522541;1,041227513;1,698666139;-2,07466666;0,317000421;0,415205106
26;4;3 לוס.;5 לד/ךד;0,985272747;1,64996613;0,832563046;3,408437715;-1,86798123;0,029393673
27;4;3 לוס.;5 לד/ךד;0,923382677;1,827808866;0,962014833;2,393725292;4,507934358;0,445538245
28;4;3 לוס.;5 לד/ךד;0,723906915;0,22215705;1,410350453;1,281629447;-1,516536828;-0,216241898
29;4;3 לוס.;5 לד/ךד;0,388712493;0,934804983;0,765129852;-1,43916066;-4,864324404;0,481090056
30;4;3 לוס.;5 לד/ךד;0,612111527;2,803515374;1,796287659;-0,343668956;-1,484747603;0,751917173
